"No.","Time","Source","Destination","Protocol","Length","Info"
"457","11.128486","172.217.26.227","192.168.2.4","TCP","60","443  >  58357 [ACK] Seq=133217 Ack=3361 Win=343 Len=0"
"458","11.149556","172.217.26.227","192.168.2.4","TLSv1.2","100","Application Data"
"459","11.149557","172.217.26.227","192.168.2.4","TLSv1.2","100","Application Data"
"460","11.149622","192.168.2.4","172.217.26.227","TCP","54","58357  >  443 [ACK] Seq=3361 Ack=133309 Win=258 Len=0"
"461","11.150903","192.168.2.4","172.217.26.227","TLSv1.2","100","Application Data"
"462","11.219741","172.217.26.227","192.168.2.4","TCP","60","443  >  58357 [ACK] Seq=133309 Ack=3407 Win=343 Len=0"
"463","11.494583","192.168.2.4","216.58.203.174","TLSv1.2","1340","Application Data"
"464","11.494711","192.168.2.4","216.58.203.174","TLSv1.2","410","Application Data"
"465","11.500500","216.58.203.174","192.168.2.4","TCP","60","443  >  58355 [ACK] Seq=1983 Ack=2331 Win=514 Len=0"
"466","11.500500","216.58.203.174","192.168.2.4","TCP","60","443  >  58355 [ACK] Seq=1983 Ack=2687 Win=525 Len=0"
"467","11.945217","216.58.203.174","192.168.2.4","TLSv1.2","314","Application Data"
"468","11.945218","216.58.203.174","192.168.2.4","TLSv1.2","100","Application Data"
"469","11.945274","192.168.2.4","216.58.203.174","TCP","54","58355  >  443 [ACK] Seq=2687 Ack=2289 Win=254 Len=0"
"470","11.945731","192.168.2.4","216.58.203.174","TLSv1.2","100","Application Data"
"471","11.951237","216.58.203.174","192.168.2.4","TCP","60","443  >  58355 [ACK] Seq=2289 Ack=2733 Win=525 Len=0"
